Scam_Type,Scam_Description,Medium_Used,Target_Actions,Common_Phrases,Threat_Emotional,Threat_Financial,Threat_Financial/Emotional,Threat_Financial/Personal,Threat_Legal,Threat_Personal,threat_type_encoded,Threat_Type_1,Threat_Type_2,Threat_Type_3,Threat_Type_4,Threat_Type_5
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Pay for fake services,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Promotes fake investment opportunities to steal money.,SMS,Invest in fake opportunity,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Promotes fake investment opportunities to steal money.,Phone,Claim prize by paying fee,owe 500 pay immediately,0,0,1,0,0,0,2,0,1,0,0,0
Extortion Scams,Promotes fake investment opportunities to steal money.,Dating Apps,Provide personal information,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Social Media,Donate to fake charity,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Charity Scams,Threatens to release personal data unless ransom is paid.,Phone,Claim prize by paying fee,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Pay for fake services,confirm account details avoid suspension,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Pop-ups,Pay fine to avoid arrest,device infected call us fix,0,0,0,0,0,1,5,0,0,0,0,1
Investment Scams,Promotes fake investment opportunities to steal money.,Email,Pay fine to avoid arrest,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Dating Apps,Provide personal information,device infected call us fix,1,0,0,0,0,0,0,0,0,0,0,0
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Email,Pay ransom,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Investment Scams,Tricks victims into providing sensitive information.,SMS,Pay for fake services,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Impersonation Scams,Asks for donations to fake causes or charities.,Email,Make payment to avoid legal trouble,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Phone,Provide personal information,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Phone,Donate to fake charity,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Threatens to release personal data unless ransom is paid.,Phone,Send money or gifts,need money emergency,0,0,0,1,0,0,3,0,0,1,0,0
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Send money or gifts,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Social Media,Invest in fake opportunity,device infected call us fix,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Dating Apps,Pay fine to avoid arrest,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Email,Pay fine to avoid arrest,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Tricks victims into providing sensitive information.,Social Media,Provide personal information,need money emergency,0,0,1,0,0,0,2,0,1,0,0,0
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Social Media,Invest in fake opportunity,help im trouble,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Exploits online relationships to demand money or gifts.,Email,Invest in fake opportunity,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Claim prize by paying fee,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Debt Collection Scams,Asks for donations to fake causes or charities.,Social Media,Make payment to avoid legal trouble,need money emergency,0,0,1,0,0,0,2,0,1,0,0,0
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Phone,Make payment to avoid legal trouble,irs pay avoid legal action,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Pretends to be someone else to steal personal or financial information.,Social Media,Pay fine to avoid arrest,irs pay avoid legal action,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Pop-ups,Provide personal information,need money emergency,1,0,0,0,0,0,0,0,0,0,0,0
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Make payment to avoid legal trouble,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Tech Support Scams,Asks for donations to fake causes or charities.,Social Media,Pay ransom,need money emergency,1,0,0,0,0,0,0,0,0,0,0,0
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Send money or gifts,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Investment Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Claim prize by paying fee,irs pay avoid legal action,0,1,0,0,0,0,1,1,0,0,0,0
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Pop-ups,Pay ransom,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Email,Provide personal information,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Romance Scams,Tricks victims into providing sensitive information.,Dating Apps,Pay fine to avoid arrest,invest double money,0,1,0,0,0,0,1,1,0,0,0,0
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Donate to fake charity,charity drive donate,0,0,0,0,1,0,4,0,0,0,1,0
Romance Scams,Asks for donations to fake causes or charities.,Phone,Claim prize by paying fee,account compromised act,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Provide personal information,need money emergency,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Promotes fake investment opportunities to steal money.,Pop-ups,Pay for fake services,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Pop-ups,Provide personal information,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Asks for donations to fake causes or charities.,Pop-ups,Pay fine to avoid arrest,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Threatens to release personal data unless ransom is paid.,Email,Invest in fake opportunity,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Investment Scams,Pretends to be someone else to steal personal or financial information.,Pop-ups,Pay fine to avoid arrest,irs pay avoid legal action,0,1,0,0,0,0,1,1,0,0,0,0
Debt Collection Scams,Asks for donations to fake causes or charities.,SMS,Pay ransom,account compromised act,0,0,0,0,0,1,5,0,0,0,0,1
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Phone,Provide personal information,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Impersonation Scams,Tricks victims into providing sensitive information.,Phone,Invest in fake opportunity,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Email,Pay ransom,account compromised act,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Impersonates police or government to claim unpaid fines.,Pop-ups,Pay fine to avoid arrest,need money emergency,0,0,0,0,0,1,5,0,0,0,0,1
Extortion Scams,Claims the victim's device is infected with malware and demands payment.,Social Media,Pay fine to avoid arrest,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Promotes fake investment opportunities to steal money.,Phone,Claim prize by paying fee,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Social Media,Pay ransom,invest double money,0,0,0,0,0,1,5,0,0,0,0,1
Investment Scams,Impersonates police or government to claim unpaid fines.,Email,Send money or gifts,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Romance Scams,Promotes fake investment opportunities to steal money.,Dating Apps,Send money or gifts,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Charity Scams,Threatens to release personal data unless ransom is paid.,Phone,Claim prize by paying fee,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Phone,Make payment to avoid legal trouble,owe 500 pay immediately,0,0,1,0,0,0,2,0,1,0,0,0
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Phone,Pay ransom,account compromised act,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Phone,Pay for fake services,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Romance Scams,Promotes fake investment opportunities to steal money.,Social Media,Donate to fake charity,charity drive donate,0,1,0,0,0,0,1,1,0,0,0,0
Phishing Scams,Tricks victims into providing sensitive information.,SMS,Claim prize by paying fee,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Pretends to be someone else to steal personal or financial information.,SMS,Make payment to avoid legal trouble,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Dating Apps,Provide personal information,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Extortion Scams,Impersonates police or government to claim unpaid fines.,SMS,Pay ransom,invest double money,0,0,0,1,0,0,3,0,0,1,0,0
Phishing Scams,Promotes fake investment opportunities to steal money.,Email,Claim prize by paying fee,need money emergency,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Exploits online relationships to demand money or gifts.,SMS,Pay ransom,charity drive donate,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Social Media,Make payment to avoid legal trouble,device infected call us fix,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Pay ransom,charity drive donate,0,0,0,0,1,0,4,0,0,0,1,0
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Social Media,Invest in fake opportunity,invest double money,1,0,0,0,0,0,0,0,0,0,0,0
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Email,Make payment to avoid legal trouble,charity drive donate,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Asks for donations to fake causes or charities.,Social Media,Provide personal information,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Phone,Claim prize by paying fee,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Pretends to be someone else to steal personal or financial information.,Email,Donate to fake charity,help im trouble,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Send money or gifts,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Tricks victims into providing sensitive information.,Phone,Make payment to avoid legal trouble,charity drive donate,0,0,0,1,0,0,3,0,0,1,0,0
Romance Scams,Threatens to release personal data unless ransom is paid.,Phone,Provide personal information,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Asks for donations to fake causes or charities.,Dating Apps,Pay ransom,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Pay for fake services,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Impersonates police or government to claim unpaid fines.,Phone,Claim prize by paying fee,owe 500 pay immediately,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Asks for donations to fake causes or charities.,Social Media,Claim prize by paying fee,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Impersonation Scams,Asks for donations to fake causes or charities.,Email,Claim prize by paying fee,invest double money,0,0,0,0,0,1,5,0,0,0,0,1
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Provide personal information,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Promotes fake investment opportunities to steal money.,Email,Pay for fake services,invest double money,0,1,0,0,0,0,1,1,0,0,0,0
